,n_clusters,threshold,crisp,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,2,0.0010000000000000002,True,0.5850184939312345,0.5008588966765557,1.177820429589482,0.797978852847549,0.5188067975605455,0.34605508639103366,Fuzzy C-Means_0,0.3535759178902121,0.509674889884154
1,2,0.00010000000000000002,True,0.5850184939312345,0.5008588966765557,1.177820429589482,0.797978852847549,0.5188067975605455,0.34605508639103366,Fuzzy C-Means_1,0.3535759178902121,0.509674889884154
2,2,1.0000000000000003e-05,True,0.5850184939312345,0.5008588966765557,1.177820429589482,0.797978852847549,0.5188067975605455,0.34605508639103366,Fuzzy C-Means_2,0.3535759178902121,0.509674889884154
3,3,0.0010000000000000002,True,0.3765217221076216,0.3121607020922471,2.004912671713905,0.6501459014232857,0.5045656481894941,0.3365559391187166,Fuzzy C-Means_3,0.2521842931679821,0.3856997314611644
4,3,0.00010000000000000002,True,0.3765217221076216,0.3121607020922471,2.004912671713905,0.6501459014232857,0.5045656481894941,0.3365559391187166,Fuzzy C-Means_4,0.2521842931679821,0.3856997314611644
5,3,1.0000000000000003e-05,True,0.3765217221076216,0.3121607020922471,2.004912671713905,0.6501459014232857,0.5045656481894941,0.3365559391187166,Fuzzy C-Means_5,0.2521842931679821,0.3856997314611644
6,4,0.0010000000000000002,True,0.3438612041417321,0.31101765801266573,2.409465434975079,0.6060901824659749,0.6417185240125312,0.4280398026973947,Fuzzy C-Means_6,0.17003269396987306,0.4189738905842113
7,4,0.00010000000000000002,True,0.3438612041417321,0.31101765801266573,2.409465434975079,0.6060901824659749,0.6417185240125312,0.4280398026973947,Fuzzy C-Means_7,0.17003269396987306,0.4189738905842113
8,4,1.0000000000000003e-05,True,0.3438612041417321,0.31101765801266573,2.409465434975079,0.6060901824659749,0.6417185240125312,0.4280398026973947,Fuzzy C-Means_8,0.17003269396987306,0.4189738905842113
9,5,0.0010000000000000002,True,0.29429147189278765,0.25894148099725284,3.167638913657338,0.5669669661837667,0.5726400081128904,0.38196297429071824,Fuzzy C-Means_9,0.11842177394558841,0.3566223003297058
10,5,0.00010000000000000002,True,0.29429147189278765,0.25894148099725284,3.167638913657338,0.5669669661837667,0.5726400081128904,0.38196297429071824,Fuzzy C-Means_10,0.11842177394558841,0.3566223003297058
11,5,1.0000000000000003e-05,True,0.29429147189278765,0.25894148099725284,3.167638913657338,0.5669669661837667,0.5726400081128904,0.38196297429071824,Fuzzy C-Means_11,0.11842177394558841,0.3566223003297058
12,6,0.0010000000000000002,True,0.2507645420975737,0.2379255862256597,2.061920209174824,0.5243926991736615,0.5730534545491204,0.382238751791862,Fuzzy C-Means_12,0.07784870981198948,0.3362456296823176
13,6,0.00010000000000000002,True,0.2507645420975737,0.2379255862256597,2.061920209174824,0.5243926991736615,0.5730534545491204,0.382238751791862,Fuzzy C-Means_13,0.07784870981198948,0.3362456296823176
14,6,1.0000000000000003e-05,True,0.2507645420975737,0.2379255862256597,2.061920209174824,0.5243926991736615,0.5730534545491204,0.382238751791862,Fuzzy C-Means_14,0.07784870981198948,0.3362456296823176
15,7,0.0010000000000000002,True,0.3143212530036352,0.28567889156201054,2.315930597795264,0.5827321317997498,0.6220456569302991,0.41491758504390175,Fuzzy C-Means_15,0.0960397860283602,0.39154017387316714
16,7,0.00010000000000000002,True,0.3143212530036352,0.28567889156201054,2.315930597795264,0.5827321317997498,0.6220456569302991,0.41491758504390175,Fuzzy C-Means_16,0.0960397860283602,0.39154017387316714
17,7,1.0000000000000003e-05,True,0.3143212530036352,0.28567889156201054,2.315930597795264,0.5827321317997498,0.6220456569302991,0.41491758504390175,Fuzzy C-Means_17,0.0960397860283602,0.39154017387316714
