,index,ex,k,distance,mink_power,decision,weighting,mean_sc,std_sc,mean_time,std_time,base_parameter
0,23,ex_23,3,minkowski,1,IDW,IG,0.9793172988289592,0.0060391023274226985,1.0705158233642578,0.09732110392136711,k
1,23,ex_23,3,minkowski,1,IDW,IG,0.9793172988289592,0.0060391023274226985,1.0705158233642578,0.09732110392136711,distance
2,23,ex_23,3,minkowski,1,IDW,IG,0.9793172988289592,0.0060391023274226985,1.0705158233642578,0.09732110392136711,decision
3,23,ex_23,3,minkowski,1,IDW,IG,0.9793172988289592,0.0060391023274226985,1.0705158233642578,0.09732110392136711,weighting
4,20,ex_20,3,minkowski,1,majority,IG,0.9779924386286554,0.005828994005916604,0.9533113718032837,0.09546125487015927,decision
5,26,ex_26,3,minkowski,1,sheppard,IG,0.9774675373394925,0.005456392783849024,0.9615046739578247,0.051369809590116194,decision
6,59,ex_59,7,minkowski,1,IDW,IG,0.9769342375704545,0.004606723874820482,1.0278310298919677,0.09756458852523783,k
7,2,ex_2,1,minkowski,1,majority,IG,0.9766696873649952,0.007937332818964487,0.9053172826766968,0.006672725975376299,k
8,44,ex_44,5,minkowski,1,sheppard,IG,0.9764044316134808,0.003651199176975715,0.9801409244537354,0.03390903801210218,k
9,68,ex_68,7,minkowski,2,IDW,IG,0.975613569174476,0.007464815014181599,1.1087918758392334,0.09676008987505541,distance
10,61,ex_61,7,minkowski,1,sheppard,relieff,0.9673935532050102,0.0069080024875524376,1.008222484588623,0.08841771760025492,weighting
11,69,ex_69,7,minkowski,2,sheppard,equal,0.9647417238677594,0.00863199675582439,0.997835350036621,0.04583454894061051,weighting
12,83,ex_83,3,cosine,,majority,IG,0.9392887010284078,0.001456032885417577,0.9487099170684814,0.02185761620580896,distance
